Einzelplan;Kapitel;Titel;Titelgruppe;Funktion;Titel-Text;Soll 2026;;Titel;Seitenzahl
1;11;44357;57;18;Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften                                                                                                                  ;0;;11144357;12
1;11;44657;57;18;Beihilfen aufgrund der Beihilfevorschriften                                                                                                                                                             ;1347;;11144657;12
1;11;45202;0;223;Unfallversicherung Bund und Bahn                                                                                                                                                                        ;12;;11145357;12
1;11;45357;57;18;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen                                                                                                                                       ;0;;11163257;12
1;11;52601;0;11;Gerichts- und ähnliche Kosten                                                                                                                                                                           ;20;;11142401;12
1;11;52602;0;11;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen                                                                                                                     ;40;;11144101;12
1;11;54201;0;13;Öffentlichkeitsarbeit                                                                                                                                                                                   ;400;;11144301;12
1;11;54501;0;11;Konferenzen, Tagungen, Messen und Ausstellungen                                                                                                                                                         ;2544;;11145202;12
1;11;54709;0;11;Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden                                                                                          ;0;;11152601;12
1;11;63257;57;18;Erstattungen des Bundes für Versorgungslasten                                                                                                                                                           ;75;;11152602;12
1;11;63403;0;11;Zuweisungen an den Versorgungsfonds                                                                                                                                                                     ;910;;11154501;13
1;11;98103;0;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981<RB>.1 und 981<RB>.7                                                                                                                          ;0;;11163403;13
1;12;11999;0;11;Vermischte Einnahmen                                                                                                                                                                                    ;2;;11211999;15
1;12;12401;0;11;Einnahmen aus Vermietung, Verpachtung und Nutzung                                                                                                                                                       ;0;;11212401;15
1;12;13201;0;11;Erlöse aus der Veräußerung von beweglichen Sachen                                                                                                                                                       ;1;;11213201;15
1;12;38103;0;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381<RB>.1 und 381<RB>.7                                                                                                                         ;0;;11238103;15
1;12;42201;0;11;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten                                                                                                                                       ;8276;;11251802;15
1;12;42202;0;11;Bezüge und Nebenleistungen der beamteten Hilfskräfte                                                                                                                                                    ;0;;11298103;15
1;12;42709;0;11;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige                            ;961;;11251111;16
1;12;42801;0;11;Entgelte der Arbeitnehmerinnen und Arbeitnehmer                                                                                                                                                         ;10346;;11252511;16
1;12;45301;0;11;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen                                                                                                                                       ;50;;11253211;16
1;12;51101;0;11;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung                                                              ;1538;;11281212;16
1;12;51111;1;11;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung                                                              ;43;;11242201;16
1;12;51401;0;11;Verbrauchsmittel, Haltung von Fahrzeugen und dgl.                                                                                                                                                       ;210;;11242709;16
1;12;51701;0;11;Bewirtschaftung der Grundstücke, Gebäude und Räume                                                                                                                                                      ;3978;;11242801;16
1;12;51801;0;11;Mieten und Pachten                                                                                                                                                                                      ;382;;11245301;16
1;12;51802;0;11;Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement                                                                                                                        ;15956;;11251101;17
1;12;51901;0;11;Unterhaltung der Grundstücke und baulichen Anlagen                                                                                                                                                      ;812;;11251401;17
1;12;52501;0;11;Aus- und Fortbildung                                                                                                                                                                                    ;130;;11251701;17
1;12;52511;1;11;Aus- und Fortbildung                                                                                                                                                                                    ;10;;11251801;17
1;12;52604;0;11;Kosten der Kommission unabhängiger Sachverständiger gemäß § 18 Abs. 6 Parteiengesetz                                                                                                                    ;0;;11251901;17
1;12;52701;0;11;Dienstreisen                                                                                                                                                                                            ;300;;11252501;17
1;12;53201;0;11;Aufträge und Dienstleistungen im Bereich Informationstechnik                                                                                                                                            ;915;;11252604;17
1;12;53203;0;11;Sonstige Dienstleistungsaufträge an Dritte                                                                                                                                                              ;300;;11252701;17
1;12;53204;0;11;Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland                                                                                                                        ;1600;;11253201;17
1;12;53205;0;11;Kosten für Orden und Ehrenzeichen                                                                                                                                                                       ;120;;11253203;17
1;12;53211;1;11;Aufträge und Dienstleistungen im Bereich Informationstechnik                                                                                                                                            ;448;;11253204;17
1;12;53999;0;11;Vermischte Verwaltungsausgaben                                                                                                                                                                          ;140;;11253205;18
1;12;68501;0;165;Forschungsprojekt: Das Bundespräsidialamt und der Nationalsozialismus                                                                                                                                   ;0;;11253999;18
1;12;71101;0;11;Kleine Neu-, Um- und Erweiterungsbauten                                                                                                                                                                 ;666;;11271101;18
1;12;71201;0;11;Baumaßnahmen von mehr als 6 000 000 € im Einzelfall                                                                                                                                                     ;0;;11271201;18
1;12;81101;0;11;Erwerb von Fahrzeugen                                                                                                                                                                                   ;0;;11281101;18
1;12;81201;0;11;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)                                                                                                           ;400;;11281201;18
1;12;81202;0;11;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik                                                                                    ;680;;11281202;18
1;12;81212;1;11;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik                                                                                    ;229;;11242202;18
1;12;98103;0;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981<RB>.1 und 981<RB>.7                                                                                                                          ;0;;11311999;2
1;13;11999;0;11;Vermischte Einnahmen                                                                                                                                                                                    ;0;;11313201;2
1;13;13201;0;11;Erlöse aus der Veräußerung von beweglichen Sachen                                                                                                                                                       ;0;;11328209;2
1;13;28209;0;11;Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen                                                                                                                             ;0;;11338103;2
1;13;38103;0;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381<RB>.1 und 381<RB>.7                                                                                                                         ;0;;11351802;2
1;13;42201;0;11;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten                                                                                                                                       ;655;;11352901;2
1;13;42709;0;11;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige                            ;30;;11354709;21
1;13;42801;0;11;Entgelte der Arbeitnehmerinnen und Arbeitnehmer                                                                                                                                                         ;1317;;11398101;21
1;13;44101;0;840;Beihilfen aufgrund der Beihilfevorschriften                                                                                                                                                             ;45;;11398103;21
1;13;44301;0;840;Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften                                                                                                                  ;6;;11342201;21
1;13;45202;0;223;Unfallversicherung Bund und Bahn                                                                                                                                                                        ;2;;11342709;21
1;13;45301;0;11;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen                                                                                                                                       ;0;;11342801;21
1;13;51101;0;11;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung                                                              ;104;;11344101;21
1;13;51801;0;11;Mieten und Pachten                                                                                                                                                                                      ;55;;11344301;22
1;13;51802;0;11;Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement                                                                                                                        ;437;;11345202;22
1;13;52901;0;11;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen                                                                                                                            ;6;;11345301;22
1;13;53201;0;11;Aufträge und Dienstleistungen im Bereich Informationstechnik                                                                                                                                            ;80;;11351101;22
1;13;53999;0;11;Vermischte Verwaltungsausgaben                                                                                                                                                                          ;196;;11351801;22
1;13;54709;0;11;Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden                                                                                          ;0;;11353201;22
1;13;63403;0;11;Zuweisungen an den Versorgungsfonds                                                                                                                                                                     ;161;;11353999;22
1;13;71101;0;11;Kleine Neu-, Um- und Erweiterungsbauten                                                                                                                                                                 ;0;;11363403;22
1;13;81101;0;11;Erwerb von Fahrzeugen                                                                                                                                                                                   ;10;;11371101;22
1;13;81201;0;11;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)                                                                                                           ;0;;11381101;22
1;13;81202;0;11;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik                                                                                    ;80;;11381201;22
1;13;98101;0;890;Leistungen an Bundesbehörden zur Durchführung von Aufträgen                                                                                                                                             ;0;;11381202;23
1;13;98103;0;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981<RB>.1 und 981<RB>.7                                                                                                                          ;0;;21128209;6
2;11;11957;57;18;Vermischte Einnahmen                                                                                                                                                                                    ;0;;21138101;6
2;11;23257;57;18;Beteiligung an den Versorgungslasten des Bundes                                                                                                                                                         ;0;;21138103;6
2;11;28209;0;11;Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen                                                                                                                             ;0;;21111957;6
2;11;38101;0;890;Leistungen von Bundesbehörden zur Durchführung von Aufträgen                                                                                                                                            ;0;;21123257;6
2;11;38103;0;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381<RB>.1 und 381<RB>.7                                                                                                                         ;0;;21152901;6
2;11;42401;0;11;Zuführung an die Versorgungsrücklage                                                                                                                                                                    ;2439;;21154201;7
2;11;43157;57;18;Versorgungsbezüge sonstiger Amtsträger und deren Hinterbliebenen                                                                                                                                        ;400;;21154709;8
2;11;43257;57;18;Versorgungsbezüge                                                                                                                                                                                       ;34000;;21198103;8
2;11;43457;57;18;Zuführung an die Versorgungsrücklage                                                                                                                                                                    ;1620;;21143157;8
2;11;44101;0;840;Beihilfen aufgrund der Beihilfevorschriften                                                                                                                                                             ;4500;;21143257;8
2;11;44301;0;840;Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften                                                                                                                  ;200;;21143457;8
2;11;44302;0;840;Heilfürsorge                                                                                                                                                                                            ;150;;21144357;8
2;11;44357;57;18;Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften                                                                                                                  ;10;;21144657;8
2;11;44657;57;18;Beihilfen aufgrund der Beihilfevorschriften                                                                                                                                                             ;7500;;21163257;9
2;11;45202;0;223;Unfallversicherung Bund und Bahn                                                                                                                                                                        ;450;;21142401;9
2;11;52601;0;11;Gerichts- und ähnliche Kosten                                                                                                                                                                           ;435;;21144101;9
2;11;52602;0;11;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen                                                                                                                     ;2849;;21144301;9
2;11;52703;0;11;Reisen in Angelegenheiten der Personalvertretungen und der Gleichstellungsbeauftragten sowie in Vertretung der Interessen schwerbehinderter Menschen                                                    ;8;;21144302;9
2;11;52901;0;11;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen                                                                                                                            ;350;;21145202;9
2;11;54201;0;13;Öffentlichkeitsarbeit                                                                                                                                                                                   ;2664;;21152601;9
2;11;54301;0;11;Veröffentlichungen und Fachinformationen                                                                                                                                                                ;8087;;21152602;1
2;11;54501;0;11;Konferenzen, Tagungen, Messen und Ausstellungen                                                                                                                                                         ;2810;;21152703;1
2;11;54709;0;11;Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden                                                                                          ;0;;21154301;1
2;11;63257;57;18;Erstattungen des Bundes für Versorgungslasten                                                                                                                                                           ;620;;21154501;1
2;11;63403;0;11;Zuweisungen an den Versorgungsfonds                                                                                                                                                                     ;17535;;21163403;1
2;11;98103;0;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981<RB>.1 und 981<RB>.7                                                                                                                          ;0;;21211101;12
2;12;11101;0;11;Gebühren, sonstige Entgelte                                                                                                                                                                             ;473;;21211901;12
2;12;11901;0;11;Einnahmen aus Veröffentlichungen                                                                                                                                                                        ;170;;21211999;12
2;12;11999;0;11;Vermischte Einnahmen                                                                                                                                                                                    ;203;;21212401;12
2;12;12401;0;11;Einnahmen aus Vermietung, Verpachtung und Nutzung                                                                                                                                                       ;1420;;21213201;13
2;12;13201;0;11;Erlöse aus der Veräußerung von beweglichen Sachen                                                                                                                                                       ;70;;21238103;13
2;12;38103;0;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381<RB>.1 und 381<RB>.7                                                                                                                         ;0;;21241101;14
2;12;41101;0;11;Entschädigungen und Amtszulagen nach § 11 Abgeordnetengesetz                                                                                                                                            ;87532;;21241102;14
2;12;41102;0;11;Aufwandsentschädigungen nach § 12 Abs. 2 und 5 Abgeordnetengesetz                                                                                                                                       ;40429;;21241103;14
2;12;41103;0;11;Aufwendungen für die Beschäftigung von Mitarbeitern nach § 12 Abs. 3 Abgeordnetengesetz                                                                                                                 ;280599;;21241104;15
2;12;41104;0;11;Zuschuss zu den Kosten in Krankheits-, Pflege-<RB>und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz                                                                          ;10601;;21241105;15
2;12;41105;0;11;Übergangsgeld für ausgeschiedene Mitglieder des Deutschen Bundestages nach § 18 Abgeordnetengesetz                                                                                                      ;5087;;21241111;15
2;12;41111;0;11;Überbrückungsgeld/Sterbegeld an Hinterbliebene sowie Versicherungen nach §§ 24, 26, 35a, 35b, 37, 38 und 41 Abgeordnetengesetz                                                                          ;750;;21241112;15
2;12;41112;0;11;Altersentschädigung an ausgeschiedene Mitglieder des Deutschen Bundestages sowie Hinterbliebenenversorgung nach §§ 19 bis 22, 25, 26, 35, 35a, 35b, 35c, 37 und 38 Abgeordnetengesetz                   ;61014;;21241113;16
2;12;41113;0;11;Versorgungsabfindung nach §§ 23 und 40 Abgeordnetengesetz                                                                                                                                               ;120;;21241116;16
2;12;41116;0;11;Inlandsdienst- und Mandatsreisen der Abgeordneten nach §§ 16 und 17 Abgeordnetengesetz                                                                                                                  ;8000;;21241117;16
2;12;41117;0;11;Auslandsdienstreisen der Abgeordneten nach § 17 Abgeordnetengesetz, ohne Reisen zu internationalen parlamentarischen Versammlungen                                                                      ;5900;;21241118;16
2;12;41118;0;11;Reisen zu internationalen parlamentarischen Versammlungen                                                                                                                                               ;998;;21241119;16
2;12;41119;0;11;Aufwendungen zur Nutzung des gemeinsamen Informations- und Kommunikationssystems des Deutschen Bundestages sowie für Geschäftsbedarf nach § 12 Abs. 4 Nrn. 1 und 4 Abgeordnetengesetz                   ;7650;;21241120;16
2;12;41120;0;11;Kostenerstattung für die Benutzung der Verkehrsmittel der Deutschen Bahn und der Berliner Verkehrsbetriebe durch die Mitglieder des Deutschen Bundestages                                               ;2519;;21268401;17
2;12;42201;0;11;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten                                                                                                                                       ;87144;;21268501;17
2;12;42202;0;11;Bezüge und Nebenleistungen der beamteten Hilfskräfte                                                                                                                                                    ;0;;21268502;17
2;12;42203;0;11;Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst                                                                              ;728;;21268512;17
2;12;42281;8;11;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten                                                                                                                                       ;935;;21268701;18
2;12;42709;0;11;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige                            ;12209;;21268702;18
2;12;42759;56;11;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige                            ;250;;21298103;19
2;12;42801;0;11;Entgelte der Arbeitnehmerinnen und Arbeitnehmer                                                                                                                                                         ;104982;;21242281;19
2;12;42881;8;11;Entgelte der Arbeitnehmerinnen und Arbeitnehmer                                                                                                                                                         ;814;;21242881;19
2;12;42891;9;11;Entgelte der Arbeitnehmerinnen und Arbeitnehmer                                                                                                                                                         ;1868;;21251181;19
2;12;42902;0;11;Aufwendungen der Präsidentin oder des Präsidenten des Deutschen Bundestages für das Personal in ihrer/seiner Amtswohnung                                                                                ;0;;21253281;19
2;12;45301;0;11;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen                                                                                                                                       ;370;;21281282;19
2;12;45909;0;11;Vermischte Personalausgaben                                                                                                                                                                             ;22;;21242201;2
2;12;51101;0;11;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung                                                              ;11918;;21242203;2
2;12;51156;56;11;Geschäftsbedarf und Datenübertragung sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, Software, Wartung                                                                                          ;5738;;21242709;2
2;12;51181;8;11;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung                                                              ;589;;21242801;2
2;12;51401;0;11;Verbrauchsmittel, Haltung von Fahrzeugen und dgl.                                                                                                                                                       ;803;;21242902;2
2;12;51701;0;11;Bewirtschaftung der Grundstücke, Gebäude und Räume                                                                                                                                                      ;76164;;21245301;2
2;12;51791;9;11;Bewirtschaftung der Grundstücke, Gebäude und Räume                                                                                                                                                      ;269;;21245909;2
2;12;51801;0;11;Mieten und Pachten                                                                                                                                                                                      ;27989;;21251101;21
2;12;51856;56;11;Miete für Datenverarbeitungsanlagen, Geräte, Ausstattungs- und Ausrüstungsgegenstände, Maschinen, Software                                                                                              ;0;;21251401;21
2;12;51901;0;11;Unterhaltung der Grundstücke und baulichen Anlagen                                                                                                                                                      ;16300;;21251701;21
2;12;51991;9;11;Unterhaltung der Grundstücke und baulichen Anlagen                                                                                                                                                      ;142;;21251801;22
2;12;52501;0;11;Aus- und Fortbildung                                                                                                                                                                                    ;1252;;21251901;22
2;12;52556;56;11;Aus- und Fortbildung                                                                                                                                                                                    ;439;;21252501;22
2;12;52603;0;11;Ausgaben für parlamentarische Gremien                                                                                                                                                                   ;1467;;21252603;22
2;12;52701;0;11;Dienstreisen                                                                                                                                                                                            ;1417;;21252701;22
2;12;53102;0;11;Besucherdienst                                                                                                                                                                                          ;9052;;21253102;23
2;12;53105;0;11;Erinnerungskultur, historische Ausstellung, Veranstaltungen und Festakte                                                                                                                                ;5762;;21253105;23
2;12;53106;0;11;Ausgaben für Veranstaltungen im Parlamentsviertel                                                                                                                                                       ;0;;21253201;23
2;12;53201;0;11;Aufträge und Dienstleistungen im Bereich Informationstechnik                                                                                                                                            ;11507;;21253204;23
2;12;53204;0;11;Ausgaben für außeramtliche Übersetzungs- und Dolmetschertätigkeit                                                                                                                                       ;2100;;21253205;23
2;12;53205;0;11;Ausgaben für das zeitgeschichtliche Archiv des Deutschen Bundestages                                                                                                                                    ;310;;21253206;23
2;12;53206;0;11;Ausgaben zur Förderung der zwischenstaatlichen Zusammenarbeit                                                                                                                                           ;4410;;21253999;23
2;12;53251;56;11;Aufträge und Dienstleistungen im Bereich Informationstechnik                                                                                                                                            ;24339;;21271101;24
2;12;53281;8;11;Aufträge und Dienstleistungen im Bereich Informationstechnik                                                                                                                                            ;761;;21271201;24
2;12;53999;0;11;Vermischte Verwaltungsausgaben                                                                                                                                                                          ;2697;;21281101;24
2;12;54791;9;11;Nicht aufteilbare sächliche Verwaltungsausgaben                                                                                                                                                         ;230;;21281201;25
2;12;68401;0;11;Geldleistungen an die Fraktionen des Deutschen Bundestages                                                                                                                                              ;122989;;21281202;25
2;12;68501;0;11;Zuschuss an Institute zur Technikfolgenabschätzung                                                                                                                                                      ;2635;;21281203;25
2;12;68502;0;11;Förderung des Deutschen Instituts für Menschenrechte                                                                                                                                                    ;5427;;21281204;25
2;12;68512;0;11;Förderung von Einrichtungen für parlamentarische Zwecke                                                                                                                                                 ;5195;;21281206;25
2;12;68701;0;11;Leistungen an internationale Organisationen/Leistungen im Zusammenhang mit Mitgliedschaften                                                                                                             ;1872;;21242891;26
2;12;68702;0;144;Förderung des deutsch-amerikanischen Jugendaustausches                                                                                                                                                  ;6565;;21251791;26
2;12;71101;0;11;Kleine Neu-, Um- und Erweiterungsbauten                                                                                                                                                                 ;1580;;21251991;26
2;12;71156;56;11;Kleine Neu-, Um- und Erweiterungsbauten                                                                                                                                                                 ;2727;;21254791;26
2;12;71201;0;11;Baumaßnahmen von mehr als 6 000 000 € im Einzelfall                                                                                                                                                     ;0;;21242759;26
2;12;71256;56;11;Baumaßnahmen von mehr als 6 000 000 € im Einzelfall                                                                                                                                                     ;2562;;21251156;26
2;12;81101;0;11;Erwerb von Fahrzeugen                                                                                                                                                                                   ;200;;21251856;26
2;12;81201;0;11;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)                                                                                                           ;8456;;21252556;27
2;12;81202;0;11;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik                                                                                    ;10000;;21253251;27
2;12;81203;0;11;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen zur Verbesserung der Arbeitsmöglichkeiten für Abgeordnete und Gremien des Deutschen Bundestages                                           ;2372;;21271156;27
2;12;81204;0;11;Erwerb zeitgenössischer Kunstwerke                                                                                                                                                                      ;275;;21271256;27
2;12;81206;0;11;Beschaffung und Einrichtung von Fernmeldeanlagen u. Ä. für Abgeordnete, den Wehrbeauftragten des Deutschen Bundestages sowie den Ständigen Bevollmächtigten des Parlamentarischen Kontrollgremiums      ;505;;21281252;27
2;12;81252;56;11;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik                                                                                    ;42432;;21242202;28
